# Spectrum: Emission from Y1 + Y2 -> Z1 with B-field||Z
initial_level,initial_label,initial_energy_cm-1,final_level,final_label,final_energy_cm-1,transition_energy_cm-1,g_i,g_f,f_or_A,A_type
0,2 3 7 7,2171.587586,11,2 3 5 -5,-0.965091,-2172.552676,1,1,3.971168e-04,A
0,2 3 7 7,2171.587586,1,2 3 5 5,0.964838,-2170.622748,1,1,1.405870e-01,A
13,2 3 7 -7,2167.924836,11,2 3 5 -5,-0.965091,-2168.889926,1,1,1.401686e-01,A
13,2 3 7 -7,2167.924836,1,2 3 5 5,0.964838,-2166.959998,1,1,3.779047e-04,A
0,2 3 7 7,2171.587586,9,2 3 5 -3,177.434579,-1994.153007,1,1,4.863269e-04,A
0,2 3 7 7,2171.587586,3,2 3 5 3,178.617367,-1992.970219,1,1,1.745126e-01,A
13,2 3 7 -7,2167.924836,9,2 3 5 -3,177.434579,-1990.490257,1,1,1.741135e-01,A
13,2 3 7 -7,2167.924836,3,2 3 5 3,178.617367,-1989.307469,1,1,4.512818e-04,A
0,2 3 7 7,2171.587586,7,2 3 5 -1,269.891749,-1901.695837,1,1,5.023609e-04,A
0,2 3 7 7,2171.587586,5,2 3 5 1,270.232501,-1901.355085,1,1,3.358926e-03,A
13,2 3 7 -7,2167.924836,7,2 3 5 -1,269.891749,-1898.033087,1,1,3.315487e-03,A
13,2 3 7 -7,2167.924836,5,2 3 5 1,270.232501,-1897.692335,1,1,4.687134e-04,A
